,artist_name,stage_name,day_id,day_name,timeslot_start,timeslot_end
348,Ahl Iver Live,Atmosphere,138,Sunday 30 July 2023,14:30:00,15:30:00
349,Farrago,Atmosphere,138,Sunday 30 July 2023,15:30:00,17:00:00
350,Klangkuenstler,Atmosphere,138,Sunday 30 July 2023,17:00:00,18:30:00
351,Kobosil,Atmosphere,138,Sunday 30 July 2023,18:30:00,20:30:00
352,ANNA,Atmosphere,138,Sunday 30 July 2023,20:30:00,22:00:00
353,Amelie Lens,Atmosphere,138,Sunday 30 July 2023,22:00:00,00:00:00
354,Lilihell,Core,138,Sunday 30 July 2023,12:30:00,14:30:00
355,DC Salas,Core,138,Sunday 30 July 2023,14:30:00,16:00:00
356,Carlita,Core,138,Sunday 30 July 2023,16:00:00,18:00:00
357,DJ Seinfeld,Core,138,Sunday 30 July 2023,18:00:00,20:00:00
358,DJ Tennis,Core,138,Sunday 30 July 2023,20:00:00,22:00:00
359,Âme,Core,138,Sunday 30 July 2023,22:00:00,00:00:00
360,Emjie,Crystal Garden,138,Sunday 30 July 2023,12:00:00,14:00:00
361,Hollt,Crystal Garden,138,Sunday 30 July 2023,14:00:00,16:00:00
362,Massano,Crystal Garden,138,Sunday 30 July 2023,16:00:00,17:30:00
363,Like Mike,Crystal Garden,138,Sunday 30 July 2023,17:30:00,19:00:00
364,Kevin De Vries,Crystal Garden,138,Sunday 30 July 2023,19:00:00,20:30:00
365,Adriatique,Crystal Garden,138,Sunday 30 July 2023,20:30:00,22:00:00
366,Stephan Bodzin,Crystal Garden,138,Sunday 30 July 2023,22:00:00,23:30:00
367,Suark,The Library,138,Sunday 30 July 2023,12:00:00,13:00:00
368,Mr. Pig & Le Twins,The Library,138,Sunday 30 July 2023,13:00:00,14:00:00
369,Sevenn,The Library,138,Sunday 30 July 2023,14:00:00,15:00:00
370,Tungevaag,The Library,138,Sunday 30 July 2023,15:00:00,16:00:00
371,Viktor & Kobe,The Library,138,Sunday 30 July 2023,16:00:00,17:00:00
372,Ben Nicky,The Library,138,Sunday 30 July 2023,17:00:00,18:00:00
373,Gabry Ponte,The Library,138,Sunday 30 July 2023,18:00:00,19:00:00
374,Paris Hilton,The Library,138,Sunday 30 July 2023,19:00:00,20:00:00
375,MATTN,The Library,138,Sunday 30 July 2023,20:00:00,21:00:00
376,AFROJACK,The Library,138,Sunday 30 July 2023,21:00:00,22:00:00
377,Dimitri Vegas & Like Mike vs Timmy Trumpet,The Library,138,Sunday 30 July 2023,22:00:00,23:00:00
378,Brennan Heart,The Library,138,Sunday 30 July 2023,23:00:00,00:00:00
379,Frank Mellemans,Moosebar,138,Sunday 30 July 2023,12:00:00,16:00:00
380,Les Mecs Eclectics,Moosebar,138,Sunday 30 July 2023,16:00:00,19:00:00
381,Dorothee Vegas & Like Maarten,Moosebar,138,Sunday 30 July 2023,19:00:00,20:00:00
382,Kurt Verheyen,Moosebar,138,Sunday 30 July 2023,20:00:00,00:00:00
